Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Pub_final,Plat
Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,59,31,7.3,49,"Koei, Omega Force",Teen,Other,Playstation
NCAA Football 09,X360,2008,Sports,Electronic Arts,0.65,0,0,0.05,0.71,83,24,7.7,26,EA Tiburon,Everyone,Electronic Arts,Xbox
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0,0.03,0.71,77,41,7.9,16,"id Software, Nerve Software",Mature,Activision,Xbox
SSX,X360,2012,Sports,Electronic Arts,0.38,0.26,0,0.06,0.7,82,65,6.4,186,EA Canada,Everyone,Electronic Arts,Xbox
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.7,65,43,5.9,21,"Eighting, Genius Sonority Inc.",Teen,Other,Nintendo
Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.22,0,0.07,0.7,50,44,5.5,182,Reality Pump,Mature,Other,Xbox
Tony Hawk's Underground,GC,2003,Sports,Activision,0.54,0.14,0,0.02,0.7,89,19,8.5,24,Neversoft Entertainment,Teen,Activision,Nintendo
Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0,0.14,0.7,67,43,6.9,8,Vicarious Visions,Teen,Activision,Playstation
NCAA Football 08,X360,2007,Sports,Electronic Arts,0.65,0,0,0.05,0.7,81,30,7.8,44,EA Sports,Everyone,Electronic Arts,Xbox
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.38,0.26,0,0.06,0.7,86,4,7.1,18,Toys for Bob,E10+,Activision,Nintendo
Star Wars: Obi-Wan,XB,2001,Action,Activision,0.52,0.16,0,0.02,0.7,58,28,5.9,14,LucasArts,Teen,Activision,Xbox
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78,51,8.4,79,Capcom,Teen,Other,Nintendo
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,0.34,0.27,0,0.09,0.7,73,33,8.3,19,Namco,Teen,Sony,Playstation
